Datetime,Latitude,Longitude,T2M,QV2M,PS,WS10M,PRECTOT,CLRSKY_SFC_SW_DWN,hour,day,month,season,PRECTOTCORR,Predicted_T2M,Predicted_QV2M,Predicted_PS,Predicted_WS10M,Predicted_PRECTOT,Predicted_CLRSKY_SFC_SW_DWN
2024-07-25 23:00:00,14,108,22.71,93.6,0.0,3.86,18.02,6.07,23,25,7,3,18.02,0.6893176,0.52417004,0.49906483,0.50235397,0.5067278,0.0022086864
2024-07-25 23:00:00,14,109,4.12,0.0,23.93,95.41,18.14,2.99,23,25,7,3,18.14,0.49364525,0.5375351,0.4812327,0.49634093,0.70919,0.0026542782
2024-07-25 23:00:00,14,110,21.74,10.61,100.15,29.24,0.0,0.07,23,25,7,3,0.0,0.50522906,0.5243542,0.72955596,0.50397724,0.48897928,0.0022731007
2024-07-25 23:00:00,14,111,22.77,28.84,10.6,100.2,0.0,2.62,23,25,7,3,0.0,0.4875653,0.5290714,0.7296058,0.5089336,0.49092886,0.002254331
2024-07-25 23:00:00,14,112,22.51,11.73,100.21,28.8,0.0,2.9,23,25,7,3,0.0,0.50501466,0.5245864,0.72724617,0.5066876,0.4888399,0.0022715356
2024-07-25 23:00:00,14,113,22.13,11.8,100.28,28.63,0.0,7.12,23,25,7,3,0.0,0.5073011,0.52220476,0.71054435,0.5096077,0.489507,0.0023047435
2024-07-25 23:00:00,14,114,21.89,11.94,100.3,28.7,0.0,7.57,23,25,7,3,0.0,0.50705886,0.52230936,0.71515447,0.510166,0.48960957,0.0023031167
2024-07-25 23:00:00,14,115,100.38,28.77,11.75,21.63,0.0,7.93,23,25,7,3,0.0,0.4883135,0.5067721,0.7102505,0.5501712,0.4846175,0.0022101686
2024-07-25 23:00:00,14,116,0.0,100.43,21.51,11.84,28.98,14.9,23,25,7,3,28.98,0.48739022,0.5055322,0.4976476,0.7532039,0.5267448,0.0023564356
2024-07-25 23:00:00,14,117,11.83,0.0,29.03,100.45,21.7,18.36,23,25,7,3,21.7,0.4933647,0.5382539,0.48052645,0.49658695,0.7128117,0.0026667228
2024-07-25 23:00:00,14,118,21.75,11.53,100.5,29.09,0.0,17.84,23,25,7,3,0.0,0.50592417,0.52236664,0.72867185,0.50940377,0.4894466,0.0022890307
2024-07-25 23:00:00,15,102,4.61,0.0,24.43,97.87,18.26,0.99,23,25,7,3,18.26,0.49372372,0.5380406,0.48052007,0.4958541,0.7157061,0.0026721607
2024-07-25 23:00:00,15,103,18.18,4.6,98.56,24.26,0.0,0.45,23,25,7,3,0.0,0.50721985,0.52346563,0.7332094,0.50578403,0.48870772,0.0022845264
2024-07-25 23:00:00,15,104,0.0,98.73,18.48,4.86,24.37,0.15,23,25,7,3,24.37,0.48794755,0.50420815,0.49696594,0.7558228,0.5259782,0.0023450146
2024-07-25 23:00:00,15,105,98.74,24.41,4.57,18.75,0.0,1.64,23,25,7,3,0.0,0.48752052,0.506851,0.7242402,0.54807484,0.48434895,0.0021937054
2024-07-25 23:00:00,15,106,93.91,22.88,1.77,18.3,0.0,15.93,23,25,7,3,0.0,0.48695675,0.5075416,0.7273468,0.5449143,0.48413086,0.002194242
2024-07-25 23:00:00,15,107,95.16,23.37,1.5,18.44,0.0,5.8,23,25,7,3,0.0,0.48676297,0.507606,0.72767663,0.5443068,0.4837992,0.0021905357
2024-07-25 23:00:00,15,108,91.03,21.7,4.09,16.36,0.0,3.25,23,25,7,3,0.0,0.48641688,0.5079219,0.7286327,0.54521376,0.4836587,0.0021885228
2024-07-25 23:00:00,15,109,97.26,25.59,3.14,19.13,0.0,1.02,23,25,7,3,0.0,0.48674724,0.5075364,0.7268326,0.54553527,0.48369995,0.0021846006
2024-07-25 23:00:00,15,110,22.48,29.82,10.76,100.03,0.0,0.08,23,25,7,3,0.0,0.48746285,0.5291659,0.7317581,0.5058835,0.49092823,0.0022513373
2024-07-25 23:00:00,15,111,22.57,30.1,11.67,100.07,0.0,1.08,23,25,7,3,0.0,0.48775926,0.529194,0.7311872,0.5072901,0.49089047,0.0022519683
2024-07-25 23:00:00,15,112,22.74,29.88,11.69,100.09,0.0,1.48,23,25,7,3,0.0,0.4878848,0.5292444,0.7300335,0.5083438,0.4908782,0.0022525166
2024-07-25 23:00:00,15,113,0.0,100.19,22.49,11.05,28.75,4.41,23,25,7,3,28.75,0.48598439,0.50462687,0.49948543,0.74266577,0.5278125,0.0023404197
2024-07-25 23:00:00,15,114,22.29,11.02,100.22,28.63,0.0,4.6,23,25,7,3,0.0,0.5066831,0.52275795,0.7180041,0.51001287,0.4893478,0.002301935
2024-07-25 23:00:00,15,115,22.06,0.0,100.29,28.84,11.2,3.56,23,25,7,3,11.2,0.4976949,0.53397053,0.4789727,0.49863434,0.71382195,0.0026868447
2024-07-25 23:00:00,15,116,21.74,0.0,100.34,29.08,11.8,6.99,23,25,7,3,11.8,0.4977031,0.53389394,0.47920206,0.49867418,0.71396583,0.0026829652
2024-07-25 23:00:00,15,117,11.99,0.0,29.14,100.36,21.77,10.92,23,25,7,3,21.77,0.4933762,0.53817785,0.48047316,0.49665883,0.7118887,0.0026653951
2024-07-25 23:00:00,15,118,11.8,0.0,29.17,100.41,21.97,12.66,23,25,7,3,21.97,0.49339142,0.5381573,0.48041233,0.49677175,0.710939,0.0026629982
2024-07-25 23:00:00,16,102,0.0,96.32,18.4,4.55,23.66,0.95,23,25,7,3,23.66,0.48732543,0.5042565,0.498149,0.7557268,0.526394,0.0023458903
